"SHFE Member/OSP Volume, Open Interest Rankings",,,,,,,,,,,
,,,,,,,,,,,
Date: 2026-08-21,,,,,,,,,,,
"Note: FF Member/OSBP may not engage in trading of its own futures, the above volume and positions ranking data of FF Member/OSBP Clearing Members refers to he participation of all clients who are engaging in brokerage business during the statistical period. FF Member/OSBP engaging in brokerage business shall accept entrustment by its clients to conduct futures trading in its own name on behalf of the client.",,,,,,,,,,,
Member/OSP Type,Total Volume,Change from Previous Trading Day,Member/OSP Type,Total Long Position,Change from Previous Trading Day,Member/OSP Type,Total Short Position,Change from Previous Trading Day,,,
Contract Code：cuall,,,,,,,2026-08-21,,,,
Name of FF Member/OSBP,336368,36254,Name of FF Member/OSBP,539420,-2971,Name of FF Member/OSBP,530553,-3111,,,
Name of Non-FF Member/OSNBP,2668,-566,Name of Non-FF Member/OSNBP,2224,75,Name of Non-FF Member/OSNBP,11091,215,,,
Ranking,Name of FF Member /OSBPs,Volume,Change from Previous Trading Day,Ranking,Name of FF Member /OSBPs,Long Position,Change from Previous Trading Day,Ranking,Name of FF Member /OSBPs,Short Position,Change from Previous Trading Day
19,0018(brokerage business),135,58,19,0240(brokerage business),289,21,19,0268(brokerage business),221,69
20,0288(brokerage business),112,57,20,0321(brokerage business),235,0,20,0058(brokerage business),209,30
Total,,14703,2356,Total,,25894,2859,Total,,29393,2757
Member/OSP Type,Total Volume,Change from Previous Trading Day,Member/OSP Type,Total Long Position,Change from Previous Trading Day,Member/OSP Type,Total Short Position,Change from Previous Trading Day,,,
Contract Code：snall,,,,,,,2026-08-21,,,,
Name of FF Member/OSBP,370350,-34718,Name of FF Member/OSBP,83769,5393,Name of FF Member/OSBP,83769,5389,,,
Name of Non-FF Member/OSNBP,4,4,Name of Non-FF Member/OSNBP,0,-4,Name of Non-FF Member/OSNBP,0,0,,,
Ranking,Name of FF Member /OSBPs,Volume,Change from Previous Trading Day,Ranking,Name of FF Member /OSBPs,Long Position,Change from Previous Trading Day,Ranking,Name of FF Member /OSBPs,Short Position,Change from Previous Trading Day
Contract Code：sn2609,,,,,,,,,,2026-08-21,
1,0004(brokerage business),37364,-4193,1,0004(brokerage business),3283,-234,1,0272(brokerage business),2151,-127
2,0148(brokerage business),30169,-2299,2,0148(brokerage business),2747,319,2,0004(brokerage business),2133,-254
3,0163(brokerage business),15292,-3523,3,0163(brokerage business),1739,-94,3,0148(brokerage business),2093,-26
4,0275(brokerage business),10263,-1894,4,0034(brokerage business),1076,122,4,0240(brokerage business),1544,-94
5,0253(brokerage business),8800,-978,5,0103(brokerage business),999,-229,5,0163(brokerage business),1370,-222
6,0308(brokerage business),7320,-88,6,0272(brokerage business),901,19,6,0007(brokerage business),1131,39
7,0240(brokerage business),7098,-2920,7,0082(brokerage business),849,-27,7,0268(brokerage business),1116,32
8,0081(brokerage business),6591,-141,8,0059(brokerage business),707,9,8,0042(brokerage business),1065,4
9,0272(brokerage business),6202,-527,9,0253(brokerage business),699,-32,9,0059(brokerage business),902,31
10,0186(brokerage business),5578,159,10,0123(brokerage business),684,-1,10,0103(brokerage business),880,-37
11,0268(brokerage business),4463,-982,11,0240(brokerage business),626,-140,11,0096(brokerage business),842,-103
12,0059(brokerage business),3814,-1030,12,0007(brokerage business),589,21,12,0034(brokerage business),823,-92
13,0034(brokerage business),3790,-883,13,0335(brokerage business),559,-62,13,0049(brokerage business),820,-33
14,0298(brokerage business),3454,-755,14,0049(brokerage business),554,-30,14,0275(brokerage business),803,123
15,0161(brokerage business),3029,199,15,0009(brokerage business),534,-17,15,0253(brokerage business),689,52
16,0259(brokerage business),2581,-311,16,0275(brokerage business),507,-204,16,0018(brokerage business),579,-9
17,0271(brokerage business),2504,-74,17,0153(brokerage business),497,-75,17,0153(brokerage business),570,53
18,0009(brokerage business),2442,-392,18,0018(brokerage business),470,16,18,0315(brokerage business),542,-21
19,0042(brokerage business),1892,-55,19,0268(brokerage business),449,-87,19,0161(brokerage business),477,4
20,0103(brokerage business),1890,709,20,0137(brokerage business),446,-13,20,0082(brokerage business),417,28
Total,,164536,-19978,Total,,18915,-739,Total,,20947,-652
Ranking,Name of FF Member /OSBPs,Volume,Change from Previous Trading Day,Ranking,Name of FF Member /OSBPs,Long Position,Change from Previous Trading Day,Ranking,Name of FF Member /OSBPs,Short Position,Change from Previous Trading Day
Contract Code：sn2610,,,,,,,,,,2026-08-21,
1,0004(brokerage business),17650,581,1,0004(brokerage business),5010,462,1,0240(brokerage business),3316,239
2,0148(brokerage business),16182,157,2,0148(brokerage business),3949,767,2,0004(brokerage business),3071,408
3,0163(brokerage business),8708,234,3,0103(brokerage business),1921,234,3,0148(brokerage business),2358,415
4,0275(brokerage business),8370,-161,4,0059(brokerage business),1719,518,4,0272(brokerage business),2326,435
